pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128,pixel129,pixel130,pixel131,pixel132,pixel133,pixel134,pixel135,pixel136,pixel137,pixel138,pixel139,pixel140,pixel141,pixel142,pixel143,pixel144,pixel145,pixel146,pixel147,pixel148,pixel149,pixel150,pixel151,pixel152,pixel153,pixel154,pixel155,pixel156,pixel157,pixel158,pixel159,pixel160,pixel161,pixel162,pixel163,pixel164,pixel165,pixel166,pixel167,pixel168,pixel169,pixel170,pixel171,pixel172,pixel173,pixel174,pixel175,pixel176,pixel177,pixel178,pixel179,pixel180,pixel181,pixel182,pixel183,pixel184,pixel185,pixel186,pixel187,pixel188,pixel189,pixel190,pixel191,pixel192,pixel193,pixel194,pixel195,pixel196,pixel197,pixel198,pixel199,pixel200,pixel201,pixel202,pixel203,pixel204,pixel205,pixel206,pixel207,pixel208,pixel209,pixel210,pixel211,pixel212,pixel213,pixel214,pixel215,pixel216,pixel217,pixel218,pixel219,label
0,1,1,1,0,0,0,0,1,0,0,0,31,0,0,2,0,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0,2,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,2,1,1,0,0,2,2,0,0,0,0,22,38,2,0,0,2,1,0,0,2,147,333,660,418,330,37,44,0,0,0,1,20,317,510,446,1003,54,0,0,0,0,0,112,208,10,276,328,38,0,0,0,7,23,1023,49,3,43,73,22,0,0,0,38,221,104,345,155,378,151,0,2,0,0,0,0,0,38,22,992,408,0,0,0,1,0,1,1,1,1,1,139,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,13,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1,2,0,0,0,0,0,0
0,0,0,1,1,1,0,1,0,1,0,0,29,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,4,0,0,0,0,21,39,0,0,1,0,0,1,0,0,156,345,657,415,322,36,45,0,0,0,0,20,313,510,455,1004,51,1,0,0,0,0,113,205,15,273,330,36,0,0,1,6,24,1023,51,2,40,76,22,0,1,0,36,223,103,349,158,372,151,1,2,0,0,0,0,0,38,20,993,402,0,1,1,0,0,1,0,1,0,1,139,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,15,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,1,0,1,0,0,29,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,4,0,0,0,0,21,39,0,0,1,0,0,1,0,0,156,345,657,415,322,36,45,0,0,0,0,20,313,510,455,1004,51,1,0,0,0,0,113,205,15,273,330,36,0,0,1,6,24,1023,51,2,40,76,22,0,1,0,36,223,103,349,158,372,151,1,2,0,0,0,0,0,38,20,993,402,0,1,1,0,0,1,0,1,0,1,139,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,15,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,1,0,1,0,0,29,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,4,0,0,0,0,21,39,0,0,1,0,0,1,0,0,156,345,657,415,322,36,45,0,0,0,0,20,313,510,455,1004,51,1,0,0,0,0,113,205,15,273,330,36,0,0,1,6,24,1023,51,2,40,76,22,0,1,0,36,223,103,349,158,372,151,1,2,0,0,0,0,0,38,20,993,402,0,1,1,0,0,1,0,1,0,1,139,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,15,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,1,0,1,0,0,29,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,4,0,0,0,0,21,39,0,0,1,0,0,1,0,0,156,345,657,415,322,36,45,0,0,0,0,20,313,510,455,1004,51,1,0,0,0,0,113,205,15,273,330,36,0,0,1,6,24,1023,51,2,40,76,22,0,1,0,36,223,103,349,158,372,151,1,2,0,0,0,0,0,38,20,993,402,0,1,1,0,0,1,0,1,0,1,139,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,15,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,1,0,1,0,0,29,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,4,0,0,0,0,21,39,0,0,1,0,0,1,0,0,156,345,657,415,322,36,45,0,0,0,0,20,313,510,455,1004,51,1,0,0,0,0,113,205,15,273,330,36,0,0,1,6,24,1023,51,2,40,76,22,0,1,0,36,223,103,349,158,372,151,1,2,0,0,0,0,0,38,20,993,402,0,1,1,0,0,1,0,1,0,1,139,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,15,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,1,0,1,0,0,29,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,4,0,0,0,0,21,39,0,0,1,0,0,1,0,0,156,345,657,415,322,36,45,0,0,0,0,20,313,510,455,1004,51,1,0,0,0,0,113,205,15,273,330,36,0,0,1,6,24,1023,51,2,40,76,22,0,1,0,36,223,103,349,158,372,151,1,2,0,0,0,0,0,38,20,993,402,0,1,1,0,0,1,0,1,0,1,139,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,15,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,0,0,1,0,2,30,0,1,0,1,0,0,0,2,0,0,1,0,0,2,2,2,2,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,0,21,40,1,1,0,0,0,3,0,0,149,346,660,419,313,38,45,0,0,0,1,18,308,509,454,999,51,0,0,0,0,0,117,213,12,272,337,36,0,0,0,8,22,1023,39,0,43,75,24,0,0,0,36,219,105,348,157,373,152,0,0,0,0,0,1,0,36,17,991,395,0,0,0,0,1,0,1,0,0,0,136,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,1,19,0,0,2,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,12,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,3,0,0,0
0,0,0,0,1,1,1,0,0,1,0,2,30,0,1,0,1,0,0,0,2,0,0,1,0,0,2,2,2,2,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,0,21,40,1,1,0,0,0,3,0,0,149,346,660,419,313,38,45,0,0,0,1,18,308,509,454,999,51,0,0,0,0,0,117,213,12,272,337,36,0,0,0,8,22,1023,39,0,43,75,24,0,0,0,36,219,105,348,157,373,152,0,0,0,0,0,1,0,36,17,991,395,0,0,0,0,1,0,1,0,0,0,136,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,1,19,0,0,2,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,12,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,3,0,0,0
0,0,0,0,1,1,1,0,0,1,0,2,30,0,1,0,1,0,0,0,2,0,0,1,0,0,2,2,2,2,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,0,21,40,1,1,0,0,0,3,0,0,149,346,660,419,313,38,45,0,0,0,1,18,308,509,454,999,51,0,0,0,0,0,117,213,12,272,337,36,0,0,0,8,22,1023,39,0,43,75,24,0,0,0,36,219,105,348,157,373,152,0,0,0,0,0,1,0,36,17,991,395,0,0,0,0,1,0,1,0,0,0,136,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,1,19,0,0,2,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,12,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,3,0,0,0
0,0,0,0,1,1,1,0,0,1,0,2,30,0,1,0,1,0,0,0,2,0,0,1,0,0,2,2,2,2,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,0,21,40,1,1,0,0,0,3,0,0,149,346,660,419,313,38,45,0,0,0,1,18,308,509,454,999,51,0,0,0,0,0,117,213,12,272,337,36,0,0,0,8,22,1023,39,0,43,75,24,0,0,0,36,219,105,348,157,373,152,0,0,0,0,0,1,0,36,17,991,395,0,0,0,0,1,0,1,0,0,0,136,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,1,19,0,0,2,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,12,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,3,0,0,0
0,0,0,0,1,1,1,0,0,1,0,2,30,0,1,0,1,0,0,0,2,0,0,1,0,0,2,2,2,2,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,0,21,40,1,1,0,0,0,3,0,0,149,346,660,419,313,38,45,0,0,0,1,18,308,509,454,999,51,0,0,0,0,0,117,213,12,272,337,36,0,0,0,8,22,1023,39,0,43,75,24,0,0,0,36,219,105,348,157,373,152,0,0,0,0,0,1,0,36,17,991,395,0,0,0,0,1,0,1,0,0,0,136,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,1,19,0,0,2,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,12,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,3,0,0,0
0,0,0,0,1,1,1,0,0,1,0,2,30,0,1,0,1,0,0,0,2,0,0,1,0,0,2,2,2,2,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,0,21,40,1,1,0,0,0,3,0,0,149,346,660,419,313,38,45,0,0,0,1,18,308,509,454,999,51,0,0,0,0,0,117,213,12,272,337,36,0,0,0,8,22,1023,39,0,43,75,24,0,0,0,36,219,105,348,157,373,152,0,0,0,0,0,1,0,36,17,991,395,0,0,0,0,1,0,1,0,0,0,136,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,1,19,0,0,2,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,12,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,3,0,0,0
0,0,0,0,1,1,1,0,0,1,0,2,30,0,1,0,1,0,0,0,2,0,0,1,0,0,2,2,2,2,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,0,21,40,1,1,0,0,0,3,0,0,149,346,660,419,313,38,45,0,0,0,1,18,308,509,454,999,51,0,0,0,0,0,117,213,12,272,337,36,0,0,0,8,22,1023,39,0,43,75,24,0,0,0,36,219,105,348,157,373,152,0,0,0,0,0,1,0,36,17,991,395,0,0,0,0,1,0,1,0,0,0,136,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,1,19,0,0,2,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,12,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,3,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,29,1,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,7,0,1,0,1,0,2,0,0,2,0,2,1,0,1,0,1,2,1,1,0,0,1,0,0,1,0,0,2,0,0,0,1,2,1,0,1,0,0,18,40,0,1,2,2,1,2,0,1,158,350,656,420,329,33,45,0,0,0,0,20,307,514,444,1002,54,0,0,0,0,0,113,206,13,273,332,36,2,0,0,9,27,1023,50,0,41,72,24,0,1,2,36,225,105,352,160,373,150,2,2,2,1,0,0,0,35,16,990,405,0,0,0,0,0,0,0,2,0,0,157,0,0,0,0,1,0,0,2,0,2,0,0,0,1,0,0,14,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,14,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,3,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,29,1,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,7,0,1,0,1,0,2,0,0,2,0,2,1,0,1,0,1,2,1,1,0,0,1,0,0,1,0,0,2,0,0,0,1,2,1,0,1,0,0,18,40,0,1,2,2,1,2,0,1,158,350,656,420,329,33,45,0,0,0,0,20,307,514,444,1002,54,0,0,0,0,0,113,206,13,273,332,36,2,0,0,9,27,1023,50,0,41,72,24,0,1,2,36,225,105,352,160,373,150,2,2,2,1,0,0,0,35,16,990,405,0,0,0,0,0,0,0,2,0,0,157,0,0,0,0,1,0,0,2,0,2,0,0,0,1,0,0,14,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,14,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,3,0,0,0
